ID,COMPLEX,ENTITY,SPACE_LOCATION
10000,Co_80_35_75,En_80_35,NULL
10010,Co_80_35_75,En_80_35_01,NULL
10011,Co_80_35_75,En_80_35_01,SL_80_35_18
10012,Co_80_35_75,En_80_94_30,SL_32_95
10013,Co_80_35_75,En_80_35_56,SL_80_35_42
10014,Co_80_35_75,En_80_94,SL_32_95
10020,Co_80_35_75,En_80_35_56,NULL
10021,Co_80_35_75,En_80_35_56,SL_80_35_74
10030,Co_80_35_75,En_80_35_74,NULL
10040,Co_80_35_75,En_80_94_30,SL_80_94
10050,Co_80_35_75,En_80_96_91,SL_80_96
10060,Co_80_35_75,En_80_96_90,SL_80_96
10061,Co_80_35_75,En_80_96_90,SL_80_35_74
10062,Co_80_35_75,En_80_96_90,SL_80_96_64
10063,Co_80_35_75,En_80_96_90,SL_80_96_18
10064,Co_80_35_75,En_80_96_90,SL_50_30
20000,Co_20_10_60,En_20_10,NULL
20010,Co_20_10_60,En_20_10_45,NULL
20020,Co_40_75_71,En_40_05_68,SL_40_55
30000,Co_80_35_75,En_80_35_77,NULL
